date,user,pc,file_tree,activity
01/02/2010 7:17,SDH2394,PC-5849,R:\;R:\22B5gX4;R:\SDH2394,Connect
01/02/2010 7:22,JKS2444,PC-6961,R:\;R:\JKS2444,Connect
01/02/2010 7:31,CBA1023,PC-1570,R:\;R:\42gY283;R:\48rr4y2;R:\59ntt61;R:\76xCQG0;R:\CBA1023,Connect
01/02/2010 7:33,GNT0221,PC-6427,R:\;R:\GNT0221,Connect
01/02/2010 7:33,JKS2444,PC-6961,,Disconnect
01/02/2010 7:37,SDH2394,PC-5849,,Disconnect
01/02/2010 7:40,RCT1697,PC-5770,R:\;R:\488TX69;R:\58l8617;R:\RCT1697,Connect
01/02/2010 7:41,ROR3483,PC-4365,R:\;R:\177Qcm8;R:\81c5yB4;R:\87zJ233;R:\ROR3483,Connect
01/02/2010 7:41,RCT1697,PC-5770,,Disconnect
01/02/2010 7:42,DJA0740,PC-7197,R:\;R:\36tgdN0;R:\DJA0740,Connect
01/02/2010 7:43,GNT0221,PC-6427,,Disconnect
01/02/2010 7:46,ROR3483,PC-4365,,Disconnect
01/02/2010 7:47,SRB2276,PC-5164,R:\;R:\SRB2276,Connect
01/02/2010 7:48,ANC1950,PC-4921,R:\;R:\23svS11;R:\26v1D25;R:\314Ym49;R:\53tdGl0;R:\ANC1950,Connect
01/02/2010 7:50,CBA1023,PC-1570,,Disconnect
01/02/2010 7:51,SRB2276,PC-5164,,Disconnect
01/02/2010 7:53,AKB2312,PC-0937,R:\;R:\AKB2312,Connect
01/02/2010 7:53,DJA0740,PC-7197,,Disconnect
01/02/2010 7:55,ANC1950,PC-4921,,Disconnect
01/02/2010 7:55,JKS2444,PC-6961,R:\;R:\JKS2444,Connect
01/02/2010 7:57,JKS2444,PC-6961,,Disconnect
01/02/2010 8:02,RCT1697,PC-5770,R:\;R:\488TX69;R:\58l8617;R:\RCT1697,Connect
01/02/2010 8:02,RCT1697,PC-5770,,Disconnect
01/02/2010 8:07,CJM0273,PC-3471,R:\;R:\13jd423;R:\49FP5C2;R:\51n6647;R:\CJM0273,Connect
01/02/2010 8:10,AKB2312,PC-0937,,Disconnect
01/02/2010 8:20,BCC2536,PC-0256,R:\;R:\54w31s6;R:\82LL683;R:\83n6Z85;R:\BCC2536,Connect
01/02/2010 8:21,FAJ3608,PC-1335,R:\;R:\FAJ3608,Connect
01/02/2010 8:21,CJM0273,PC-3471,,Disconnect
01/02/2010 8:21,RCT1697,PC-5770,R:\;R:\488TX69;R:\58l8617;R:\RCT1697,Connect
01/02/2010 8:21,LAN1329,PC-8190,R:\;R:\21ZY773;R:\324xR29;R:\37mqq71;R:\54bR5h2;R:\LAN1329,Connect
01/02/2010 8:23,RCT1697,PC-5770,,Disconnect
01/02/2010 8:24,SDH2394,PC-5849,R:\;R:\22B5gX4;R:\SDH2394,Connect
