id,date,user,pc,activity
{F3X8-Y2GT43DR-4906OHBL},01/02/2010 2:19,DNS1758,PC-0414,Logon
{B4Q0-D0GM24KN-3704MAII},01/02/2010 2:31,DNS1758,PC-0414,Logoff
{T7J1-D4HK34KV-5476TCIJ},01/02/2010 2:34,DNS1758,PC-5313,Logon
{S4Y6-D8MQ05SA-0759HLIS},01/02/2010 2:53,DNS1758,PC-5313,Logoff
{F3P0-E7FH78CV-4874FRGZ},01/02/2010 4:07,DNS1758,PC-0012,Logon
{M6C2-B1LK96JR-3409QEXP},01/02/2010 4:10,DNS1758,PC-0012,Logoff
{J3S1-G0CN29NY-6126GYJV},01/02/2010 6:16,ANC1950,PC-4921,Logon
{M1V4-S1FK13BQ-2952XBLU},01/02/2010 6:25,SAB1954,PC-5091,Logon
{S2E1-Y8HO73WG-6712ZKOG},01/02/2010 6:28,LIM1718,PC-7539,Logon
{X3U5-I6AY76TL-5507LCII},01/02/2010 6:32,LSN1672,PC-9021,Logon
{T9C3-A0RO51RW-1508BHBK},01/02/2010 6:33,JEV3132,PC-7700,Logon
{G1T0-B0ZO16BY-6931CHHG},01/02/2010 6:34,HDB1666,PC-6793,Logon
{B4P2-H2CK33MA-9719SKBP},01/02/2010 6:38,CBA1023,PC-1570,Logon
{Y3T7-C4SA18FK-1176HKZW},01/02/2010 6:45,LAF2213,PC-3090,Logon
{G8L5-G8EA91ZE-0726XMMK},01/02/2010 6:46,ROR3483,PC-4365,Logon
{O3X3-I1WD37ZL-1969SYOE},01/02/2010 6:49,RJH0219,PC-3959,Logon
{P3A5-Z7PL54GE-3916OBKP},01/02/2010 6:49,SDH2394,PC-5849,Logon
{X0N8-W4HL70RL-7019WUIO},01/02/2010 6:56,GNT0221,PC-6427,Logon
{U9V5-N6EB40WN-7174ZDSS},01/02/2010 6:56,JLC0216,PC-3253,Logon
{R9K8-Q2KF87KI-6337YIQQ},01/02/2010 6:57,AMB3100,PC-9472,Logon
{V2U9-R4BA34BX-7600KMOM},01/02/2010 6:59,SSS3091,PC-2686,Logon
{U6Y8-A3NU38QQ-4104QSOA},01/02/2010 7:01,MJA2380,PC-2940,Logon
